name,age,income,credit_score,loan_amount,employment_type,loan_status,city
Sara,61,39592,462,827572,Self-Employed,Rejected,Bangalore
Arjun,64,122080,729,141161,Business,Approved,Ahmedabad
Fatima,34,55495,708,681262,Salaried,Rejected,Bangalore
Aman,35,83878,751,341704,Salaried,Rejected,Delhi
Sara,38,45379,560,850581,Self-Employed,Approved,Pune
Sara,43,136082,626,683052,Self-Employed,Rejected,Mumbai
Arjun,45,35328,732,357419,Business,Rejected,Chennai
Sara,23,111673,566,860620,Self-Employed,Rejected,Pune
Imran,45,61434,682,716563,Self-Employed,Approved,Delhi
Neha,63,59993,809,766751,Business,Approved,Pune
Priya,55,120568,575,221339,Self-Employed,Approved,Ahmedabad
Aman,64,67504,843,863694,Salaried,Rejected,Bangalore
Ananya,46,60093,483,271231,Business,Approved,Chennai
Aditya,46,140957,779,531141,Salaried,Approved,Hyderabad
Kabir,58,81155,748,468801,Self-Employed,Rejected,Bangalore
Neha,53,89686,496,842495,Salaried,Approved,Pune
Rohan,64,80333,755,116613,Self-Employed,Approved,Ahmedabad
Aditya,54,57953,733,952592,Salaried,Rejected,Pune
Aditya,62,69587,507,357757,Self-Employed,Rejected,Delhi
Imran,53,124871,541,582342,Salaried,Rejected,Hyderabad
Ananya,30,74009,840,219396,Business,Approved,Mumbai
Arjun,22,39662,635,971406,Self-Employed,Approved,Bangalore
Ananya,26,120932,698,905662,Salaried,Approved,Delhi
Imran,56,46643,585,603306,Business,Rejected,Ahmedabad
Rohan,40,77296,793,731446,Self-Employed,Rejected,Kolkata
Priya,28,57493,565,117136,Self-Employed,Rejected,Mumbai
Aisha,58,53864,453,124441,Business,Rejected,Mumbai
Kabir,42,34287,713,299565,Self-Employed,Approved,Kolkata
Sara,57,100525,692,304801,Self-Employed,Approved,Ahmedabad
Aisha,63,81498,631,494154,Self-Employed,Rejected,Kolkata
Sara,64,110649,780,153198,Salaried,Rejected,Ahmedabad
Aditya,36,50112,547,612336,Self-Employed,Rejected,Delhi
Rahul,50,57742,488,514656,Business,Approved,Pune
Ananya,26,146420,835,939921,Salaried,Approved,Delhi
Karan,34,138331,655,996279,Salaried,Approved,Delhi
Zoya,37,146440,682,349105,Self-Employed,Approved,Kolkata
Aisha,34,32665,746,821476,Business,Rejected,Mumbai
Arjun,24,101569,694,577276,Business,Approved,Delhi
Priya,32,33981,754,121262,Business,Approved,Bangalore
Aman,58,102924,470,699468,Salaried,Rejected,Ahmedabad
Kabir,37,51772,792,800981,Self-Employed,Approved,Bangalore
Sara,63,109607,603,529434,Self-Employed,Approved,Pune
Arjun,25,95468,559,580458,Self-Employed,Rejected,Delhi
Rahul,36,73434,595,215409,Self-Employed,Rejected,Hyderabad
Kabir,63,132099,733,363921,Business,Rejected,Pune
Imran,37,40129,504,828480,Business,Rejected,Delhi
Aisha,42,51685,801,715046,Self-Employed,Approved,Kolkata
Kabir,26,108136,666,919634,Self-Employed,Approved,Mumbai
Sara,61,59335,532,827236,Self-Employed,Rejected,Ahmedabad
Kabir,25,148869,803,997837,Salaried,Rejected,Mumbai
Imran,48,41704,471,373232,Self-Employed,Rejected,Mumbai
Kabir,64,57706,791,157786,Self-Employed,Rejected,Ahmedabad
Aman,36,138325,533,888742,Salaried,Approved,Ahmedabad
Sara,47,130150,792,956036,Business,Approved,Bangalore
Rohan,45,139316,469,950300,Self-Employed,Approved,Bangalore
Aditya,43,65001,566,283752,Salaried,Rejected,Bangalore
Aman,25,126361,592,418203,Business,Rejected,Ahmedabad
Fatima,22,40118,583,237241,Business,Approved,Hyderabad
Imran,43,120491,610,507592,Business,Approved,Pune
Arjun,37,30817,812,507239,Salaried,Approved,Bangalore
Zoya,63,145687,619,703425,Self-Employed,Rejected,Pune
Kabir,53,65538,791,478231,Self-Employed,Rejected,Ahmedabad
Zoya,33,80108,790,447562,Business,Approved,Delhi
Aman,46,96819,450,368635,Self-Employed,Rejected,Bangalore
Neha,50,82905,676,758446,Salaried,Rejected,Kolkata
Priya,63,36114,595,590490,Business,Approved,Chennai
Priya,64,65687,565,895742,Salaried,Approved,Delhi
Imran,51,105120,843,126365,Self-Employed,Rejected,Ahmedabad
Rahul,65,75328,703,469066,Salaried,Rejected,Delhi
Priya,27,127029,667,279471,Salaried,Approved,Kolkata
Rohan,28,84829,518,890346,Self-Employed,Rejected,Chennai
Rohan,60,131824,818,985351,Business,Rejected,Ahmedabad
Aditya,31,122472,693,521932,Self-Employed,Rejected,Bangalore
Zoya,54,88517,770,300867,Self-Employed,Approved,Kolkata
Priya,36,60614,621,385239,Business,Approved,Pune
Aman,45,115957,528,790734,Salaried,Rejected,Pune
Rahul,55,86069,662,115290,Salaried,Approved,Ahmedabad
Fatima,57,74857,694,56182,Self-Employed,Rejected,Hyderabad
Aditya,55,122978,826,622661,Business,Approved,Bangalore
Rohan,48,88654,464,457746,Self-Employed,Rejected,Ahmedabad
Fatima,29,106560,723,78276,Self-Employed,Approved,Mumbai
Imran,29,138619,686,240556,Salaried,Approved,Hyderabad
Fatima,50,67840,622,848207,Self-Employed,Rejected,Hyderabad
Riya,37,134433,491,543152,Salaried,Rejected,Mumbai
Priya,35,110215,485,869182,Business,Rejected,Mumbai
Sara,33,134999,460,701517,Salaried,Approved,Bangalore
Neha,57,149224,561,537623,Business,Rejected,Hyderabad
Sara,59,104593,832,803252,Salaried,Rejected,Delhi
Imran,58,28365,609,653766,Business,Approved,Ahmedabad
Zoya,25,102607,803,920917,Business,Approved,Bangalore
Fatima,64,103697,511,884904,Business,Rejected,Mumbai
Fatima,63,73571,485,580538,Business,Approved,Chennai
Fatima,52,38833,671,429781,Business,Rejected,Kolkata
Aditya,32,121180,717,732054,Self-Employed,Approved,Kolkata
Priya,41,136635,575,921084,Salaried,Rejected,Hyderabad
Aman,50,99691,762,750646,Self-Employed,Approved,Chennai
Aditya,32,88904,558,422060,Self-Employed,Approved,Chennai
Ananya,56,26330,714,250337,Salaried,Rejected,Bangalore
Rahul,56,124374,573,774156,Self-Employed,Rejected,Kolkata
Riya,26,63566,563,474045,Business,Approved,Bangalore
Rohan,51,97544,721,410455,Self-Employed,Approved,Chennai
Neha,38,65189,578,291736,Salaried,Approved,Bangalore
Imran,33,53361,828,557719,Self-Employed,Rejected,Hyderabad
Kabir,39,54816,634,238158,Self-Employed,Rejected,Mumbai
Ananya,38,30965,477,630238,Self-Employed,Rejected,Delhi
Aman,27,139389,456,651949,Self-Employed,Rejected,Kolkata
Karan,32,31734,579,953582,Self-Employed,Rejected,Pune
Zoya,52,34710,745,710021,Business,Approved,Mumbai
Karan,26,57530,510,635181,Self-Employed,Rejected,Bangalore
Aisha,49,144079,676,361797,Business,Approved,Ahmedabad
Arjun,60,122004,500,849787,Salaried,Approved,Bangalore
Rohan,31,56439,538,628805,Salaried,Approved,Delhi
Zoya,65,102832,690,355407,Salaried,Approved,Bangalore
Imran,65,137670,682,124637,Business,Rejected,Bangalore
Kabir,48,40043,728,285729,Business,Rejected,Delhi
Rohan,25,32816,534,881131,Self-Employed,Rejected,Hyderabad
Aisha,65,64857,808,472060,Self-Employed,Approved,Kolkata
Rahul,48,121276,615,683039,Self-Employed,Approved,Mumbai
Rohan,64,132665,587,654238,Salaried,Rejected,Delhi
Ananya,38,48788,749,507058,Business,Rejected,Kolkata
Aman,43,78523,620,386653,Business,Rejected,Pune
Aisha,47,115921,703,352218,Business,Rejected,Ahmedabad
Karan,50,36542,611,314659,Self-Employed,Rejected,Pune
Imran,53,133124,450,739606,Business,Rejected,Kolkata
Imran,54,72419,768,843188,Self-Employed,Rejected,Kolkata
Priya,38,96987,517,352020,Self-Employed,Approved,Kolkata
Sara,31,65730,732,64338,Business,Approved,Ahmedabad
Zoya,50,149133,510,729172,Salaried,Rejected,Kolkata
Kabir,53,117459,589,485673,Self-Employed,Approved,Kolkata
Aditya,45,49983,756,582929,Business,Rejected,Delhi
Ananya,47,69548,709,330150,Salaried,Rejected,Hyderabad
Karan,30,83529,725,557868,Self-Employed,Approved,Chennai
Priya,50,147270,614,961843,Salaried,Rejected,Bangalore
Kabir,47,30720,612,830879,Self-Employed,Approved,Ahmedabad
Rohan,52,29852,514,576690,Business,Rejected,Chennai
Kabir,27,93937,683,66093,Business,Approved,Delhi
Aman,25,86537,850,327896,Self-Employed,Approved,Ahmedabad
Aisha,64,137635,723,448468,Self-Employed,Rejected,Kolkata
Arjun,60,33968,570,711820,Business,Rejected,Hyderabad
Zoya,48,37903,839,714532,Business,Approved,Pune
Fatima,22,31028,616,884816,Salaried,Approved,Hyderabad
Arjun,30,57007,721,482067,Business,Approved,Delhi
Kabir,60,139142,645,699813,Business,Rejected,Bangalore
Rohan,35,85443,776,316314,Self-Employed,Rejected,Hyderabad
Zoya,39,113815,729,215649,Salaried,Rejected,Kolkata
Karan,61,80615,803,312246,Self-Employed,Approved,Hyderabad
Zoya,51,38979,571,449889,Business,Rejected,Chennai
Aisha,22,133794,787,465032,Self-Employed,Approved,Mumbai
Riya,59,122671,704,923294,Self-Employed,Rejected,Bangalore
Aisha,35,108442,547,701051,Self-Employed,Rejected,Delhi
Arjun,40,128364,675,84985,Business,Rejected,Chennai
Riya,39,67823,832,485686,Salaried,Approved,Bangalore
Ananya,54,90771,589,920813,Salaried,Rejected,Hyderabad
Kabir,39,122853,623,893298,Salaried,Rejected,Kolkata
Riya,35,137740,796,809396,Business,Rejected,Ahmedabad
Aditya,26,128636,652,64594,Self-Employed,Approved,Pune
Aman,58,74941,776,439518,Salaried,Approved,Bangalore
Zoya,60,54015,781,116287,Business,Rejected,Kolkata
Ananya,62,78516,509,196566,Salaried,Rejected,Mumbai
Riya,28,37739,570,980358,Business,Rejected,Delhi
Kabir,63,149437,830,780316,Business,Approved,Ahmedabad
Aditya,47,110841,500,924190,Self-Employed,Rejected,Ahmedabad
Riya,23,115476,639,277823,Self-Employed,Rejected,Kolkata
Aditya,27,114873,638,620913,Business,Approved,Chennai
Rahul,33,41011,682,146126,Business,Rejected,Bangalore
Imran,24,128126,620,305400,Salaried,Approved,Bangalore
Kabir,58,53305,569,394519,Salaried,Approved,Mumbai
