name,age,income,credit_score,loan_amount,employment_type,loan_status,city
Aditya,62,66571,697,258923,Business,Rejected,Chennai
Aisha,54,56073,745,744259,Salaried,Rejected,Chennai
Fatima,51,159559,813,179420,Self-Employed,Approved,Chennai
Priya,64,71711,766,308842,Self-Employed,Approved,Delhi
Riya,34,148492,835,637516,Self-Employed,Approved,Delhi
Kabir,57,145408,759,901947,Business,Approved,Mumbai
Riya,69,85863,848,519917,Salaried,Rejected,Mumbai
Aisha,32,47670,606,352661,Business,Approved,Delhi
Priya,23,143784,826,227100,Salaried,Approved,Pune
Fatima,37,95567,841,270796,Salaried,Approved,Hyderabad
Neha,53,120221,509,547752,Business,Rejected,Ahmedabad
Aman,50,84913,864,355645,Business,Approved,Ahmedabad
Kabir,44,111029,702,491822,Self-Employed,Rejected,Pune
Aman,49,164103,851,526813,Salaried,Rejected,Kolkata
Ananya,45,120513,844,341555,Self-Employed,Approved,Delhi
Kabir,63,125786,638,353812,Self-Employed,Rejected,Ahmedabad
Neha,61,147124,526,31576,Self-Employed,Approved,Pune
Ananya,31,108006,561,-40231,Self-Employed,Rejected,Chennai
Neha,32,105846,779,137323,Self-Employed,Rejected,Pune
Fatima,37,90122,745,699388,Salaried,Approved,Delhi
Aditya,53,130179,687,238365,Salaried,Approved,Delhi
Neha,50,133017,801,914163,Self-Employed,Approved,Kolkata
Arjun,34,86483,651,609873,Self-Employed,Approved,Pune
Rohan,50,135377,850,723299,Salaried,Approved,Bangalore
Rahul,38,94756,733,459960,Salaried,Rejected,Pune
Arjun,51,53790,859,718397,Salaried,Rejected,Chennai
Kabir,55,41334,876,913972,Salaried,Approved,Mumbai
Neha,64,120885,900,846861,Business,Rejected,Delhi
Imran,68,154541,544,561018,Business,Approved,Chennai
Aditya,67,149646,800,397635,Business,Rejected,Ahmedabad
Sara,39,160757,711,567350,Business,Approved,Delhi
Riya,69,103577,601,574418,Business,Approved,Mumbai
Aditya,32,104415,875,366785,Salaried,Rejected,Pune
Ananya,69,123931,751,29939,Self-Employed,Rejected,Bangalore
Priya,45,66023,727,490947,Salaried,Approved,Pune
Karan,64,101424,826,549097,Business,Approved,Mumbai
Karan,56,119674,589,812684,Salaried,Rejected,Hyderabad
Sara,68,138964,887,636402,Business,Rejected,Delhi
Ananya,35,135530,805,397227,Self-Employed,Approved,Hyderabad
Ananya,29,45982,578,941544,Self-Employed,Rejected,Hyderabad
Arjun,46,106959,596,765029,Salaried,Approved,Hyderabad
Zoya,60,52607,878,885982,Business,Rejected,Ahmedabad
Priya,29,134578,622,562031,Self-Employed,Rejected,Hyderabad
Riya,62,133388,827,182864,Salaried,Rejected,Kolkata
Imran,61,131139,543,961935,Business,Rejected,Ahmedabad
Zoya,67,130861,852,889066,Business,Rejected,Mumbai
Riya,50,95353,777,270394,Salaried,Rejected,Mumbai
Aditya,37,111905,892,550811,Salaried,Approved,Hyderabad
Arjun,45,103265,554,847282,Salaried,Rejected,Pune
Neha,66,119925,817,375493,Salaried,Approved,Hyderabad
Priya,56,110836,883,841702,Salaried,Approved,Ahmedabad
Fatima,56,115160,675,788388,Business,Approved,Pune
Zoya,63,142786,735,175746,Salaried,Approved,Ahmedabad
Riya,63,112082,564,130073,Self-Employed,Approved,Ahmedabad
Aditya,39,134491,700,292358,Self-Employed,Rejected,Bangalore
